DATE,"S&P500 Index value (friday is closing, monday is open price)",change: Monday – Friday,Y = binary (0: went down or no change & 1: opened higher on Monday compared to last Friday's closing),,,,,,,$BTC
"Monday, August 9, 2021",4437.77,1.25,1,,,,,,,
"Friday, August 13, 2021",4468,,,,,,,,,
"Monday, August 16, 2021",4461.65,-6.35,0,,,,,,,
"Friday, August 20, 2021",4441.67,,,,,,,,,
"Monday, August 23, 2021",4450.29,8.62,1,,,,,,,
"Friday, August 27, 2021",4509.37,,,,,,,,,
"Monday, August 30, 2021",4513.76,4.39,1,,,,,,,
"Friday, September 3, 2021",4535.43,,,,,,,,,
"Monday, September 6, 2021",4535.38,-0.05,0,,,,,,,
"Friday, September 10, 2021",4458.58,,,,,,,,,
"Monday, September 13, 2021",4474.81,16.23,1,,,,,,,
"Friday, September 17, 2021",4432.99,,,,,,,,,
"Monday, September 20, 2021",4402.95,-30.04,0,,,,,,,
"Friday, September 24, 2021",4455.48,,,,,,,,,
"Monday, September 27, 2021",4442.12,-13.36,0,,,,,,,
"Friday, October 1, 2021",4357.04,,,,,,,,,
"Monday, October 4, 2021",4348.84,-8.2,0,,,,,,,
"Friday, October 8, 2021",4391.34,,,,,,,,,
"Monday, October 11, 2021",4385.44,-5.9,0,,,,,,,
"Friday, October 15, 2021",4471.37,,,,,,,,,
"Monday, October 18, 2021",4463.72,-7.65,0,,,,,,,
"Friday, October 22, 2021",4544.9,,,,,,,,,
"Monday, October 25, 2021",4553.69,8.79,1,,,,,,,
"Friday, October 29, 2021",4605.38,,,,,,,,,
"Monday, November 1, 2021",4610.62,5.24,1,,,,,,,
"Friday, November 5, 2021",4697.53,,,,,,,,,
"Monday, November 8, 2021",4701.48,3.95,1,,,,,,,
"Friday, November 12, 2021",4682.85,,,,,,,,,
"Monday, November 15, 2021",4689.3,6.45,1,,,,,,,
"Friday, November 19, 2021",4697.96,,,,,,,,,
"Monday, November 22, 2021",4712,14.04,1,,,,,,,
"Friday, November 26, 2021",4594.62,,,,,,,,,
"Monday, November 29, 2021",4628.75,34.13,1,,,,,,,
"Friday, December 3, 2021",4538.43,,,,,,,,,
"Monday, December 6, 2021",4548.37,9.94,1,,,,,,,
"Friday, December 10, 2021",4712.02,,,,,,,,,
"Monday, December 13, 2021",4710.3,-1.72,0,,,,,,,
"Friday, December 17, 2021",4620.64,,,,,,,,,
"Monday, December 20, 2021",4587.9,-32.74,0,,,,,,,
"Friday, December 24, 2021",4791.19,,,,,,,,,
"Monday, December 27, 2021",4733.99,-57.2,0,,,,,,,
"Friday, December 31, 2021",4766.18,,,,,,,,,
"Monday, January 3, 2022",4778.14,11.96,1,,,,,,,
"Friday, January 7, 2022",4677.03,,,,,,,,,
"Monday, January 10, 2022",4655.34,-21.69,0,,,,,,,
"Friday, January 14, 2022",4662.85,,,,,,,,,
"Monday, January 17, 2022",4632.24,-30.61,0,,,,,,,
"Friday, January 21, 2022",4397.94,,,,,,,,,
"Monday, January 24, 2022",4356.32,-41.62,0,,,,,,,
"Friday, January 28, 2022",4431.85,,,,,,,,,
"Monday, January 31, 2022",4431.79,-0.06,0,,,,,,,
"Friday, February 4, 2022",4500.53,,,,,,,,,
"Monday, February 7, 2022",4505.75,5.22,1,,,,,,,
"Friday, February 11, 2022",4418.64,,,,,,,,,
"Monday, February 14, 2022",4412.61,-6.03,0,,,,,,,
"Friday, February 18, 2022",4348.87,,,,,,,,,
"Monday, February 21, 2022",4332.74,-16.13,0,,,,,,,
"Friday, February 25, 2022",4384.65,,,,,,,,,
"Monday, February 28, 2022",4354.17,-30.48,0,,,,,,,
"Friday, March 4, 2022",4328.87,,,,,,,,,
"Monday, March 7, 2022",4327.01,-1.86,0,,,,,,,
"Friday, March 11, 2022",4204.31,,,,,,,,,
"Monday, March 14, 2022",4202.75,-1.56,0,,,,,,,
"Friday, March 18, 2022",4463.12,,,,,,,,,
"Monday, March 21, 2022",4462.4,-0.72,0,,,,,,,
"Friday, March 25, 2022",4543.06,,,,,,,,,
"Monday, March 28, 2022",4541.09,-1.97,0,,,,,,,
"Friday, April 1, 2022",4545.86,,,,,,,,,
"Monday, April 4, 2022",4547.97,2.11,1,,,,,,,
"Friday, April 8, 2022",4488.28,,,,,,,,,
"Monday, April 11, 2022",4462.64,-25.64,0,,,,,,,
"Friday, April 15, 2022",4391.69,,,,,,,,,
"Monday, April 18, 2022",4385.63,-6.06,0,,,,,,,
"Friday, April 22, 2022",4271.78,,,,,,,,,
"Monday, April 25, 2022",4255.34,-16.44,0,,,,,,,
"Friday, April 29, 2022",4131.93,,,,,,,,,
"Monday, May 2, 2022",4130.61,-1.32,0,,,,,,,
"Friday, May 6, 2022",4123.34,,,,,,,,,
"Monday, May 9, 2022",4081.27,-42.07,0,,,,,,,
"Friday, May 13, 2022",4023.89,,,,,,,,,
"Monday, May 16, 2022",4013.02,-10.87,0,,,,,,,
"Friday, May 20, 2022",3901.36,,,,,,,,,
"Monday, May 23, 2022",3919.42,18.06,1,,,,,,,
"Friday, May 27, 2022",4158.24,,,,,,,,,
